{'weights': [0.05, 0.1, 0.85], 'tol': 0.001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 108812.92016806721, 'shape_smoothness': 69.96278981438871, 'edge_consistency': 426605.3000372757, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.8908009079588165, 'intensity_variance_error': 0.7339871175361115, 'peak_intensity_consistency': 12.925481772731994, 'ge_normalized': 0.5244413076639393, 'ge': 240817.69531977177, 'spatial_spread_error': 13.251963356517534, 'gap_error': 0.874228652336494}
{'weights': [0.05, 0.1, 0.85], 'tol': 0.005, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 31327.452380952378, 'shape_smoothness': 57.57008131395124, 'edge_consistency': 426703.6058297605, 'edge_intensity_error': 0.5389229242111085, 'intensity_gradient_error': 0.8457485430412456, 'intensity_variance_error': 0.6639963006337993, 'peak_intensity_consistency': 10.998649578887424, 'ge_normalized': 0.69147243149772, 'ge': 153544.69217735043, 'spatial_spread_error': 10.126076531185982, 'gap_error': 0.8695075787747172}
{'weights': [0.05, 0.1, 0.85], 'tol': 0.01, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 64401.91532976827, 'shape_smoothness': 134.27676885942935, 'edge_consistency': 426466.7943125676, 'edge_intensity_error': 0.6799032793335122, 'intensity_gradient_error': 0.8242638109313353, 'intensity_variance_error': 0.607439134145287, 'peak_intensity_consistency': 18.591330022167316, 'ge_normalized': 0.6445305733405938, 'ge': 192485.83381889216, 'spatial_spread_error': 12.822278219002206, 'gap_error': 0.9016902311313323}
{'weights': [0.05, 0.1, 0.85], 'tol': 0.05, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 26864.967190747266, 'shape_smoothness': 61.25811936004322, 'edge_consistency': 426445.58491681184, 'edge_intensity_error': 0.6372366809226795, 'intensity_gradient_error': 0.8423486966349606, 'intensity_variance_error': 0.7118787029746958, 'peak_intensity_consistency': 10.648812737366521, 'ge_normalized': 0.6624676009003823, 'ge': 149264.71131289384, 'spatial_spread_error': 10.111424951633703, 'gap_error': 0.8943456490192515}
{'weights': [0.05, 0.1, 0.85], 'tol': 0.1, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 11458.36321195145, 'shape_smoothness': 36.10204897884733, 'edge_consistency': 426523.4282323495, 'edge_intensity_error': 0.49770995212652513, 'intensity_gradient_error': 1.0607513355303688, 'intensity_variance_error': 0.8275691496938867, 'peak_intensity_consistency': 7.41879347996601, 'ge_normalized': 0.7804138275092868, 'ge': 158703.04186906602, 'spatial_spread_error': 12.15048449577913, 'gap_error': 0.8509249517360069}
{'weights': [0.05, 0.1, 0.85], 'tol': 0.15, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 27572.861011904763, 'shape_smoothness': 50.645271469847906, 'edge_consistency': 1090382.9412325032, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.8386480768886403, 'intensity_variance_error': 0.7121752566439544, 'peak_intensity_consistency': 8.974275602568133, 'ge_normalized': 0.6579234684562275, 'ge': 147956.9794338737, 'spatial_spread_error': 9.6760982042357, 'gap_error': 0.8444347324066713}
{'weights': [0.05, 0.1, 0.85], 'tol': 0.2, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 37842.91011904762, 'shape_smoothness': 79.83666615268342, 'edge_consistency': 426290.03214893554, 'edge_intensity_error': 0.16511176554537954, 'intensity_gradient_error': 0.9205537109753442, 'intensity_variance_error': 0.8883631284347576, 'peak_intensity_consistency': 9.868113086223586, 'ge_normalized': 0.6827652679810208, 'ge': 178175.18809858744, 'spatial_spread_error': 11.81710511136788, 'gap_error': 0.8553265709212435}
{'weights': [0.05, 0.1, 0.85], 'tol': 0.25, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 26231.727956989245, 'shape_smoothness': 61.99569096004617, 'edge_consistency': 426451.3919238601, 'edge_intensity_error': 0.6344565599697416, 'intensity_gradient_error': 0.8413603518887646, 'intensity_variance_error': 0.7118518363611853, 'peak_intensity_consistency': 10.728352370645823, 'ge_normalized': 0.6615367788068724, 'ge': 149135.27907747935, 'spatial_spread_error': 10.104786171722644, 'gap_error': 0.8943977735416139}
{'weights': [0.05, 0.1, 0.85], 'tol': 0.3, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 14087.038095238095, 'shape_smoothness': 95.80778327865265, 'edge_consistency': 426091.82365711563, 'edge_intensity_error': 0.1719665322537963, 'intensity_gradient_error': 1.0720856721803882, 'intensity_variance_error': 0.5941013101193656, 'peak_intensity_consistency': 9.641840220888817, 'ge_normalized': 0.5223728395428093, 'ge': 185399.17664157102, 'spatial_spread_error': 11.661773426462803, 'gap_error': 0.8644560160308492}
{'weights': [0.05, 0.15000000000000002, 0.7999999999999999], 'tol': 0.001, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 74951.59146825397, 'shape_smoothness': 184.7859566086797, 'edge_consistency': 426481.9107484948, 'edge_intensity_error': 0.0, 'intensity_gradient_error': 0.8478325820095604, 'intensity_variance_error': 0.6554608962158205, 'peak_intensity_consistency': 12.641599627885336, 'ge_normalized': 0.5942846415944484, 'ge': 227655.91188691757, 'spatial_spread_error': 12.237242709357155, 'gap_error': 0.8870831899028896}
{'weights': [0.05, 0.15000000000000002, 0.7999999999999999], 'tol': 0.005, 'alpha': 0.7, 'beta': 0.2, 'centric_shape_consistency': 40004.10105820106, 'shape_smoothness': 277.1416569655208, 'edge_consistency': 426211.40681573027, 'edge_intensity_error': 0.15255317807322788, 'intensity_gradient_error': 0.9395303427558822, 'intensity_variance_error': 0.6694460210262285, 'peak_intensity_consistency': 17.31528222265074, 'ge_normalized': 0.7327275760988589, 'ge': 195118.59804529345, 'spatial_spread_error': 12.776006136188704, 'gap_error': 0.8893402957890976}
